ISEQ_ID,Date_ISEQ,Price_ISEQ,Open_ISEQ,High_ISEQ,Low_ISEQ,Vol_Mil_ISEQ,ChangePercent_ISEQ
215,2018-10-26,5978.12,5970.46,5993.68,5873.23,36.09,0.13
216,2018-10-25,5970.46,5917.33,5979.75,5857.39,38.42,0.9
217,2018-10-24,5917.33,5930.36,6021.1,5917.33,19.52,-0.22
218,2018-10-23,5930.36,6024.38,6024.38,5917.74,24.3,-1.56
219,2018-10-22,6024.38,5997.46,6068.62,5997.46,22.21,0.45
220,2018-10-19,5997.46,6090.79,6109.68,5991.46,28.9,-1.53
221,2018-10-18,6090.79,6185.74,6185.74,6082.99,18.82,-1.57
222,2018-10-17,6188.02,6263.19,6273.6,6168.93,31.7,-1.2
223,2018-10-16,6263.19,6113.84,6263.19,6113.84,15.08,2.44
224,2018-10-15,6113.84,6098.39,6124.52,6069.5,13.67,0.25
225,2018-10-12,6098.39,6018.81,6119.65,6018.81,28.97,1.32
226,2018-10-11,6018.81,6153.73,6153.73,6018.81,27.75,-2.19
227,2018-10-10,6153.81,6328.4,6328.4,6153.25,25.89,-2.76
228,2018-10-09,6328.4,6388.99,6411.79,6319.76,25.6,-0.95
229,2018-10-08,6388.99,6450.73,6450.73,6388.99,18.52,-0.96
230,2018-10-05,6450.73,6482.94,6487.88,6420.15,39.39,-0.5
231,2018-10-04,6482.94,6540.15,6540.15,6464.05,25.57,-0.88
232,2018-10-03,6540.18,6472.64,6552.26,6472.64,31.38,1.04
233,2018-10-02,6472.64,6494.65,6494.65,6433.52,28.59,-0.34
234,2018-10-01,6494.65,6522.36,6545.78,6470.97,33.41,-0.42
235,2018-09-28,6522.36,6586.75,6593.24,6521.6,47.62,-0.98
236,2018-09-27,6586.75,6570.37,6603.61,6558.01,19.38,0.17
237,2018-09-26,6575.63,6559.98,6575.65,6544.16,25.32,0.24
238,2018-09-25,6559.98,6583.58,6588.47,6556.68,21.79,-0.36
239,2018-09-24,6583.58,6673.16,6673.16,6582.24,16.4,-1.34
240,2018-09-21,6673.16,6709.29,6730.29,6646.72,43.2,-0.54
241,2018-09-20,6709.29,6723.48,6748.61,6689.95,59.3,-0.22
242,2018-09-19,6723.96,6707.9,6736.33,6707.9,21.52,0.24
243,2018-09-18,6707.9,6671.42,6707.9,6655.46,19.89,0.55
244,2018-09-17,6671.42,6637.63,6671.42,6610.86,14.73,0.51
245,2018-09-14,6637.63,6629.66,6657.03,6598.74,13.33,0.12
246,2018-09-13,6629.66,6611.66,6657.78,6601.5,14.8,0.26
247,2018-09-12,6612.27,6646.72,6653.51,6596.16,13.33,-0.52
248,2018-09-11,6646.72,6634.45,6646.72,6601.37,19.14,0.18
249,2018-09-10,6634.45,6646.34,6657.96,6614.01,18.18,-0.18
250,2018-09-07,6646.34,6693.58,6700.03,6632.03,20.77,-0.71
251,2018-09-06,6693.58,6684.48,6713.95,6668.19,31.81,-0.06
252,2018-09-05,6697.59,6757.5,6769.01,6697.59,19.76,-0.89
253,2018-09-04,6757.5,6787.38,6808.78,6748.91,44.15,-0.44
254,2018-09-03,6787.38,6773.91,6814.22,6752.54,12.07,0.2
255,2018-08-31,6773.91,6805.22,6817.71,6753.14,27.05,-0.46
256,2018-08-30,6805.22,6819.05,6831.58,6787.54,20.98,-0.21
257,2018-08-29,6819.44,6782.59,6844.41,6780.15,18.57,0.54
258,2018-08-28,6782.59,6796.3,6811.26,6766.21,23.71,-0.2
259,2018-08-27,6796.3,6794.21,6818.73,6784.59,5.02,0.03
260,2018-08-24,6794.21,6719.87,6801.79,6719.87,14.18,1.11
261,2018-08-23,6719.87,6717.67,6823.53,6717.67,16.17,-0.06
262,2018-08-22,6723.69,6735.54,6758.93,6701.68,28.9,-0.18
263,2018-08-21,6735.54,6726.37,6744.41,6692.05,27.8,0.14
264,2018-08-20,6726.37,6698.59,6758.06,6683.68,18.01,0.41
265,2018-08-17,6698.59,6672.08,6709.46,6657.28,22.08,0.4
266,2018-08-16,6672.08,6617.2,6672.08,6617.2,22,0.82
267,2018-08-15,6617.83,6694.66,6715.12,6611.85,17.35,-1.15
268,2018-08-14,6694.66,6686.68,6724.96,6661.65,12.5,0.12
269,2018-08-13,6686.68,6681.97,6701.15,6624.01,12.33,0.07
270,2018-08-10,6681.97,6745.64,6745.64,6654.51,21.71,-0.94
271,2018-08-09,6745.64,6761.85,6761.85,6714.34,18.51,-0.24
272,2018-08-08,6761.85,6813.61,6813.61,6757.14,11.15,-0.76
273,2018-08-07,6813.61,6817.28,6847.53,6810.29,15.12,-0.05
274,2018-08-06,6817.28,6790.59,6817.28,6770.26,11.24,0.39
275,2018-08-03,6790.59,6727.08,6791.92,6727.08,23.08,0.94
276,2018-08-02,6727.08,6815.09,6815.09,6727.08,16.52,-1.29
277,2018-08-01,6815.26,6831.98,6864.45,6798.5,20.58,-0.24
278,2018-07-31,6831.98,6839.24,6864.59,6828.42,41.43,-0.11
279,2018-07-30,6839.24,6898.11,6898.11,6839.04,18.45,-0.85
280,2018-07-27,6898.11,6928,6947.05,6897.91,18.15,-0.43
281,2018-07-26,6928,6882.94,6935.72,6882.94,20.44,0.65
282,2018-07-25,6882.94,6885.64,6923.91,6860.82,18.24,-0.04
283,2018-07-24,6885.64,6864.64,6914.73,6864.64,23.31,0.31
284,2018-07-23,6864.64,6935.73,6935.73,6864.64,16.72,-1.02
285,2018-07-20,6935.73,6982.76,6987.26,6883.55,18.68,-0.67
286,2018-07-19,6982.76,7028.99,7029.95,6969.65,70.54,-0.66
287,2018-07-18,7029.18,7028.61,7076.81,7001.92,22.3,0.01
288,2018-07-17,7028.61,7057,7062.73,7016.83,37.5,-0.4
289,2018-07-16,7057,7046.01,7066.87,7025.68,14.24,0.16
290,2018-07-13,7046.01,7024.26,7069.39,7007.15,17.39,0.31
291,2018-07-12,7024.26,6945.37,7026.54,6945.37,23.69,1.14
292,2018-07-11,6945.37,6989.93,6989.93,6927.98,17.61,-0.64
293,2018-07-10,6989.93,7013.12,7013.12,6974.26,21.22,-0.33
294,2018-07-09,7013.12,7001.49,7034.78,7001.49,12.71,0.17
295,2018-07-06,7001.49,6969.09,7001.49,6962.29,13.13,0.46
296,2018-07-05,6969.09,6974.22,6997.92,6950.45,19.18,-0.09
297,2018-07-04,6975.16,6943,6975.18,6923.59,10.09,0.46
298,2018-07-03,6943,6927.22,6981.66,6927.22,36.45,0.23
299,2018-07-02,6927.22,6982.83,6982.83,6919.71,20.56,-0.8
300,2018-06-29,6982.83,6953.15,7020.49,6953.15,24.5,0.43
301,2018-06-28,6953.15,7018.74,7019.83,6943.7,22.38,-0.93
302,2018-06-27,7018.74,6975.56,7056.61,6949.22,16.31,0.62
303,2018-06-26,6975.56,6977.35,7034.85,6974.54,17.91,-0.03
304,2018-06-25,6977.35,7105.36,7105.36,6977.35,29.53,-1.8
305,2018-06-22,7105.36,7061.17,7131.31,7061.17,11.59,0.63
306,2018-06-21,7061.17,7100.25,7133.67,7059.13,9.49,-0.55
307,2018-06-20,7100.5,7063.76,7133.89,7063.76,9.53,0.52
308,2018-06-19,7063.76,7081.41,7089.52,7021.67,9.68,-0.25
309,2018-06-18,7081.41,7128.43,7143.81,7064.13,9.64,-0.66
310,2018-06-15,7128.43,7178.46,7206.88,7125.32,32.28,-0.7
311,2018-06-14,7178.46,7128.66,7203.95,7083.27,30.21,0.7
312,2018-06-13,7128.68,7121.7,7173.72,7107.83,19.94,0.1
313,2018-06-12,7121.7,7149.42,7172.01,7121.7,17.18,-0.39
314,2018-06-11,7149.42,7127.6,7175.79,7127.6,14.36,0.31
315,2018-06-08,7127.6,7136.03,7149.64,7087.18,13.99,-0.12
316,2018-06-07,7136.03,7177.08,7222.01,7136.03,25.59,-0.57
317,2018-06-06,7177.08,7161.98,7224,7151.92,17.82,0.21
318,2018-06-05,7161.98,7182.42,7230.1,7150.32,29.53,-0.28
319,2018-06-01,7182.42,7140.86,7224.11,7140.86,27.1,0.58
320,2018-05-31,7140.86,7115.58,7250,7115.58,69.09,0.36
321,2018-05-30,7115.58,7126.77,7153.92,7101.56,28.34,-0.16
322,2018-05-29,7126.77,7184.65,7184.65,7114.39,33.25,-0.81
323,2018-05-28,7184.65,7171.32,7250.34,7171.32,12.2,0.19
324,2018-05-25,7171.32,7143.08,7196.96,7129.32,30.45,0.4
325,2018-05-24,7143.08,7141.3,7186.88,7126.42,24.45,-0.01
326,2018-05-23,7143.48,7196.68,7211.86,7142.59,18.58,-0.74
327,2018-05-22,7196.68,7181.25,7219.43,7169.78,18.05,0.21
328,2018-05-21,7181.25,7096.06,7184.59,7091.4,16.44,1.2
329,2018-05-18,7096.06,7081.83,7127.24,7073,23.01,0.2
330,2018-05-17,7081.83,7006.42,7081.83,6996.71,34.99,1.06
331,2018-05-16,7007.36,6990.7,7042.92,6987.48,35.11,0.24
332,2018-05-15,6990.7,7010.48,7052.63,6990.7,42.68,-0.28
333,2018-05-14,7010.48,6961.59,7027.34,6925.18,24.06,0.7
334,2018-05-11,6961.59,6991.39,7010.96,6958.91,17,-0.43
335,2018-05-10,6991.39,6982.71,7000.63,6956.79,28.56,0.11
336,2018-05-09,6983.53,6949.35,6983.74,6928.36,28.32,0.49
337,2018-05-08,6949.35,6864.59,6949.35,6863.91,27.32,1.23
338,2018-05-04,6864.59,6795.87,6865.77,6795.87,15.07,1.01
339,2018-05-03,6795.87,6843.74,6843.74,6772.35,37.26,-0.71
340,2018-05-02,6844.53,6797.37,6857.38,6782.54,29.62,0.69
341,2018-05-01,6797.37,6805.19,6833.96,6773.44,5.87,-0.11
342,2018-04-30,6805.19,6798.38,6828.05,6788.96,14.25,0.1
343,2018-04-27,6798.38,6810.53,6810.53,6772.12,26.78,-0.18
344,2018-04-26,6810.53,6756.67,6812.94,6719.86,25.35,0.8
345,2018-04-25,6756.67,6774.45,6781.38,6711.16,35.27,-0.26
346,2018-04-24,6774.45,6841.26,6841.26,6735.8,30.92,-0.98
347,2018-04-23,6841.26,6827.72,6852.65,6792.76,27.81,0.2
348,2018-04-20,6827.72,6782.81,6842.52,6764.04,22.6,0.66
349,2018-04-19,6782.81,6751.24,6783.88,6724.08,16.7,0.28
350,2018-04-18,6763.63,6704.75,6775.44,6685.71,30.27,0.88
351,2018-04-17,6704.75,6709.89,6720.23,6683.29,21.09,-0.08
352,2018-04-16,6709.89,6638.13,6718.04,6638.13,13.94,1.08
353,2018-04-13,6638.13,6641.22,6672.86,6629.76,20.04,-0.05
354,2018-04-12,6641.22,6559.54,6642.82,6559.54,22.31,0.94
355,2018-04-11,6579.27,6638.33,6642.78,6575.57,23.87,-0.89
356,2018-04-10,6638.33,6635.77,6653.05,6615.88,19.35,0.04
357,2018-04-09,6635.77,6632.48,6683.66,6632.48,16.45,0.05
358,2018-04-06,6632.48,6673.2,6683.04,6632.48,19.25,-0.61
359,2018-04-05,6673.2,6545.06,6685.55,6545.06,17.29,1.95
360,2018-04-04,6545.75,6580.97,6589.51,6524.73,23.09,-0.54
361,2018-04-03,6580.97,6593.65,6593.65,6525.24,25.8,-0.19
362,2018-03-29,6593.65,6549.19,6612.8,6540.02,21.4,0.68
363,2018-03-28,6549.21,6517.03,6574.87,6475.75,28.17,0.49
364,2018-03-27,6517.03,6446.45,6533.42,6446.45,16.11,1.09
365,2018-03-26,6446.45,6514.91,6522.6,6432.36,25.19,-1.05
366,2018-03-23,6514.91,6517.18,6523.1,6410.26,25.83,-0.03
367,2018-03-22,6517.18,6592.15,6605.13,6501.09,27.07,-1.28
368,2018-03-21,6601.7,6625.77,6644.94,6591,34.24,-0.36
369,2018-03-20,6625.77,6670.55,6677.43,6619.21,29.41,-0.67
370,2018-03-19,6670.55,6693.94,6695.37,6655.43,12.75,-0.35
